Video URL,Logo Detected,Detection Details
https://www.youtube.com/watch?v=ThDgv-RA_Lw,True,"[('First', ('likee1', 'Combined', 71.08196020126343)), ('Middle', ('tiktok19', 'Combined', 60.629481077194214)), ('Last', ('tiktok19', 'Combined', 64.22027945518494))]"
https://www.youtube.com/watch?v=iPLiL-OzDJQ,True,"[('First', ('tiktok19', 'Combined', 65.57828783988953)), ('Middle', ('tiktok19', 'Combined', 64.20139074325562)), ('Last', ('tiktok19', 'Combined', 65.30300378799438))]"
https://www.youtube.com/watch?v=lAoyU-jaYqw,True,"[('First', ('tiktok19', 'Combined', 67.14269518852234)), ('Middle', ('tiktok19', 'Combined', 60.0158154964447)), ('Last', ('tiktok19', 'Combined', 62.60967254638672))]"
https://www.youtube.com/watch?v=TIUrc-84n-8,True,"[('First', ('tiktok', 'Combined', 100.0)), ('Middle', ('tiktok', 'Combined', 100.0)), ('Last', ('tiktok', 'Combined', 100.0))]"
https://www.youtube.com/watch?v=FFqAu-dRqqY,True,"[('First', ('tiktok19', 'Combined', 64.29752111434937)), ('Middle', ('likee10', 'Combined', 64.34049010276794)), ('Last', ('tiktok19', 'Combined', 61.98915243148804))]"
https://www.youtube.com/watch?v=WQlMj-Ry5ko,True,"[('First', ('tiktok19', 'Combined', 61.04220747947693)), ('Middle', ('tiktok19', 'Combined', 61.53439283370972)), ('Last', ('tiktok19', 'Combined', 61.4458441734314))]"
https://www.youtube.com/watch?v=ZmtmM-39Jus,True,"[('First', ('tiktok19', 'Combined', 65.16145467758179)), ('Middle', ('tiktok19', 'Combined', 64.95915651321411)), ('Last', ('tiktok19', 'Combined', 64.99466896057129))]"
https://www.youtube.com/watch?v=KWvRj-tShRg,True,"[('First', ('likee1', 'Combined', 71.27764225006104)), ('Middle', ('likee1', 'Combined', 70.8810031414032)), ('Last', ('likee1', 'Combined', 70.73050737380981))]"
https://www.youtube.com/watch?v=IMysv-gPNe8,True,"[('First', ('tiktok19', 'Combined', 66.08843803405762)), ('Middle', ('tiktok19', 'Combined', 65.25567770004272)), ('Last', ('tiktok19', 'Combined', 67.87871718406677))]"
https://www.youtube.com/watch?v=zCNIK-eppr0,True,"[('First', ('likee1', 'Combined', 69.53158974647522)), ('Middle', ('tiktok7', 'Combined', 60.13957858085632)), ('Last', ('tiktok19', 'Combined', 64.07484412193298))]"
