Video URL,Logo Detected,Detection Details
https://www.youtube.com/watch?v=ZmtmM-39Jus,False,"[('First', ('likee4', 'ORB', 71.42857142857143)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee4', 'ORB', 73.01587301587301))]"
https://www.youtube.com/watch?v=KWvRj-tShRg,False,"[('First', ('likee4', 'ORB', 77.77777777777779)), ('Middle', ('likee4', 'ORB', 74.60317460317461)), ('Last', ('tiktok11', 'ORB', 86.66666666666667))]"
https://www.youtube.com/watch?v=IMysv-gPNe8,False,"[('First', ('likee4', 'ORB', 68.25396825396825)), ('Middle', ('tiktok1', 'ORB', 100.0)), ('Last', ('likee4', 'ORB', 66.66666666666666))]"
https://www.youtube.com/watch?v=zCNIK-eppr0,True,"[('First', ('tiktok1', 'ORB', 70.0)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=SgasV-cez_8,False,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('likee13', 'ORB', 62.96296296296296)), ('Last', ('likee13', 'ORB', 66.66666666666666))]"
https://www.youtube.com/watch?v=CHtGA-jis58,False,"[('First', ('likee13', 'ORB', 62.96296296296296)), ('Middle', ('likee4', 'ORB', 79.36507936507937)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=UQJgL-V1ixg,False,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('likee4', 'ORB', 63.49206349206349))]"
https://www.youtube.com/watch?v=uCuCm-wK26Q,False,"[('First', ('tiktok1', 'ORB', 90.0)), ('Middle', ('likee4', 'ORB', 77.77777777777779)), ('Last', ('likee4', 'ORB', 71.42857142857143))]"
https://www.youtube.com/watch?v=EfqaV-LxhZM,False,"[('First', ('likee4', 'ORB', 71.42857142857143)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('likee4', 'ORB', 65.07936507936508))]"
https://www.youtube.com/watch?v=SlqyS-ZxNqc,False,"[('First', ('tiktok1', 'ORB', 100.0)), ('Middle', ('likee13', 'ORB', 77.77777777777779)), ('Last', ('likee4', 'ORB', 71.42857142857143))]"
https://www.youtube.com/watch?v=KQPLL-DUl-Q,False,"[('First', ('tiktok1', 'ORB', 60.0)), ('Middle', ('tiktok11', 'ORB', 73.33333333333333)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=VkVoP-bf2Wg,False,"[('First', ('tiktok11', 'ORB', 73.33333333333333)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee4', 'ORB', 74.60317460317461))]"
https://www.youtube.com/watch?v=GZKyL-Za5Kg,False,"[('First', ('likee4', 'ORB', 57.14285714285714)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('likee10', 'ORB', 63.63636363636363))]"
https://www.youtube.com/watch?v=fCbsD-t2nco,False,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('likee13', 'ORB', 44.44444444444444))]"
https://www.youtube.com/watch?v=WmtIj-gFHV8,False,"[('First', ('likee4', 'ORB', 73.01587301587301)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee13', 'ORB', 59.25925925925925))]"
https://www.youtube.com/watch?v=vlLWP-W6BGU,False,"[('First', ('likee10', 'ORB', 86.36363636363636)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('likee4', 'ORB', 65.07936507936508))]"
https://www.youtube.com/watch?v=dnHtD-ceAmI,False,"[('First', ('likee4', 'ORB', 69.84126984126983)), ('Middle', ('likee4', 'ORB', 65.07936507936508)), ('Last', ('likee1', 'ORB', 50.0))]"
https://www.youtube.com/watch?v=zZMsO-8e378,False,"[('First', ('likee13', 'ORB', 66.66666666666666)), ('Middle', ('likee4', 'ORB', 60.317460317460316)), ('Last', ('tiktok1', 'ORB', 50.0))]"
https://www.youtube.com/watch?v=djDjy-bXzz8,False,"[('First', ('likee4', 'ORB', 76.19047619047619)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('tiktok1', 'ORB', 70.0))]"
https://www.youtube.com/watch?v=DEliM-oDmdE,False,"[('First', ('likee4', 'ORB', 82.53968253968253)), ('Middle', ('likee4', 'ORB', 73.01587301587301)), ('Last', ('likee', 'ORB', 65.21739130434783))]"
https://www.youtube.com/watch?v=rRRpK-xXvSM,False,"[('First', ('likee4', 'ORB', 68.25396825396825)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('tiktok1', 'ORB', 90.0))]"
https://www.youtube.com/watch?v=cFspY-4w4PI,False,"[('First', ('likee4', 'ORB', 80.95238095238095)), ('Middle', ('likee4', 'ORB', 80.95238095238095)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=jEODj-2YZtA,True,"[('First', ('likee4', 'ORB', 61.904761904761905)), ('Middle', ('likee4', 'ORB', 66.66666666666666)), ('Last', ('likee4', 'ORB', 77.77777777777779))]"
https://www.youtube.com/watch?v=CXKRK-DdR1w,False,"[('First', ('likee13', 'ORB', 51.85185185185185)), ('Middle', ('likee4', 'ORB', 68.25396825396825)), ('Last', ('tiktok1', 'ORB', 60.0))]"
https://www.youtube.com/watch?v=dZdoX-00-9E,False,"[('First', ('likee4', 'ORB', 84.12698412698413)), ('Middle', ('tiktok11', 'ORB', 73.33333333333333)), ('Last', ('likee', 'ORB', 64.34782608695652))]"
